incident_id,date,reports,Alleged deployer of AI system,Alleged developer of AI system,Alleged harmed or nearly harmed parties,description,title
2,05/12/2018,"[139,141,142,143,144,145,146,148,149,150,151,152,153,154,155,156,157]","[""amazon""]","[""amazon""]","[""warehouse-workers""]",Twenty-four Amazon workers in New Jersey were hospitalized after a robot punctured a can of bear repellent spray in a warehouse.,Warehouse robot ruptures can of bear spray and injures workers
9,25/02/2012,"[1329,1330,1331,1332,1333,1334,1335]","[""new-york-city-dept.-of-education""]","[""new-york-city-dept.-of-education""]","[""teachers""]",An algorithm used to rate the effectiveness of school teachers in New York has resulted in thousands of disputes of its results.,NY City School Teacher Evaluation Algorithm Contested
10,14/08/2014,"[16,17,18,19,20,21,22,23,24,25]","[""starbucks""]","[""kronos""]","[""starbucks-employees""]","Kronos's scheduling algorithm and its use by Starbucks managers allegedly negatively impacted financial and scheduling stability for Starbucks employees, which disadvantaged wage workers.",Kronos Scheduling Algorithm Allegedly Caused Financial Issues for Starbucks Employees
11,23/05/2016,"[29,30,31,32,33,35,36,37,38,39,40,41,1371,1372,1373]","[""northpointe""]","[""northpointe""]","[""accused-people""]",An algorithm developed by Northpointe and used in the penal system is two times more likely to incorrectly label a black person as a high-risk re-offender and is two times more likely to incorrectly label a white person as low-risk for reoffense according to a ProPublica review.,Northpointe Risk Models
27,26/09/1983,"[342,343,344,345,346,347,349,350,351,352,353,354,355,356,357,358,359,360,361,363,364,365,366,367,368,370,371]","[""soviet-union""]","[""soviet-union""]","[""all-life-on-earth""]",An alert of five incoming intercontinental ballistic missiles was properly identified as a false-positive by the Soviet Union operator Stanislov Petrov.,Nuclear False Alarm
28,08/05/2010,"[390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419]","[""navinder-sarao"",""waddell-and-reed"",""barclays-capital""]","[""navinder-sarao"",""waddell-and-reed"",""barclays-capital""]","[""market-participants""]",A modified algorithm was able to cause dramatic price volatility and disrupted trading in the US stock exchange.,2010 Market Flash Crash
30,08/10/2016,"[424,425,426,428,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453]","[""tesla""]","[""tesla""]","[""tesla""]","The goal of manufacturing 2,500 Tesla Model 3's per week was falling short by 500 cars/week, and employees had to be ""borrowed"" from Panasonic in a shared factory to help hand-assemble lithium batteries for Tesla.",Poor Performance of Tesla Factory Robots
35,18/10/2014,"[539,540,541,543,544,545,547,548,549,550,551,555,558,562,563,564,565,566,567,568]","[""unknown""]","[""unknown""]","[""ibrahim-diallo""]","An employee was laid off, allegedly by an artificially intelligent personnel system, and blocked from access to the building and computer systems without their knowledge.",Employee Automatically Terminated by Computer Program
37,10/08/2016,"[599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,1498,2253,2461,6123]","[""amazon""]","[""amazon""]","[""amazon-applicants"",""women-applying-to-amazon""]","Between 2014 and 2017, Amazon reportedly developed an AI-powered recruiting tool to score job applicants, trained on a decade of resumes purportedly drawn largely from men. Media reports say the system learned to favor male candidates, penalizing terms like ""women's"" and graduates from certain all-women's colleges. Efforts to remove these biases reportedly did not guarantee fairness, and the project was ultimately abandoned. Amazon reportedly states recruiters never solely relied on the tool.",Amazon's Experimental Hiring Tool Allegedly Displayed Gender Bias in Candidate Rankings
40,23/05/2016,"[697,699,700,701,702,703,704,705,706,707,708,709,711,715,716,717,718,1338,1357,1358,1359]","[""equivant""]","[""equivant""]","[""accused-people""]","Correctional Offender Management Profiling for Alternative Sanctions (COMPAS), a recidivism risk-assessment algorithmic tool used in the judicial system to assess likelihood of defendants' recidivism, is found to be less accurate than random untrained human evaluators.",COMPAS Algorithm Performs Poorly in Crime Recidivism Prediction
48,07/12/2016,"[838,839,840,842,843,844,845,846,847,848,849,850,851,853,855,857,858,859,860,862,863]","[""new-zealand""]","[""new-zealand""]","[""asian-people""]",New Zealand passport robot reader rejects the application of an applicant with Asian descent and says his eyes are closed.,Passport checker Detects Asian man's Eyes as Closed
51,12/07/2016,"[931,932,933,934,935,936,938,939,940,942,943,944,945,946,948,949,950,951,952,953,954,955,956,957,958,959,1765]","[""stanford-shopping-center""]","[""knightscope""]","[""child""]","On July 7, 2016, a Knightscope K5 autonomous security robot collided with a 16-month old boy while patrolling the Stanford Shopping Center in Palo Alto, CA.",Security Robot Rolls Over Child in Mall
54,18/11/2015,"[1007,1008,1009,1010,1014,1015,1017,1019,1347,1349,1524,1525,1526,1013,1011,1018,1012]","[""predpol"",""oakland-police-department""]","[""predpol""]","[""oakland-residents""]",Predictive policing algorithms meant to aid law enforcement by predicting future crime show signs of biased output.,Predictive Policing Biases of PredPol
57,01/07/2015,"[1048,1049,1050,1051,1052,1054,1055,1056,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1346,1437,1618,1619,2369,2372,2373,2374,2375,2419,3167]","[""australian-department-of-human-services""]","[""centrelink""]","[""australian-welfare-recipients""]","Australian Department of Human Services (DHS)'s automated debt assessment system issued false or incorrect debt notices to hundreds of thousands of people, resulting in years-long lawsuits and damages to welfare recipients.",Australian Automated Debt Assessment System Issued False Notices to Thousands
64,22/01/2018,[1137],"[""heriot-watt-university"",""margiotta""]","[""heriot-watt-university""]","[""store-patrons""]","Heriot-Watt Univeristy in Scotland developed an artificially intelligent grocery store robot, Fabio, who provided unhelpful answers to customer's questions and ""scared away"" multiple customers, according to the grocery store Margiotta.",Customer Service Robot Scares Away Customers
74,30/01/2020,"[1336,1400,1467,1484,1543,1837,2027,2028,2029,2734,3964]","[""detroit-police-department""]","[""dataworks-plus""]","[""robert-julian-borchak-williams"",""black-people-in-detroit""]",A Black man was wrongfully detained by the Detroit Police Department as a result of a false facial recognition (FRT) result.,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT
76,09/10/2020,[1339],"[""buenos-aires-city-government""]","[""unknown""]","[""buenos-aires-children""]",Buenos Aires city government uses a facial recognition system that has led to numerous false arrests.,Live facial recognition is tracking kids suspected of being criminals
77,04/10/2019,"[1340,1390,1878,2201,2202]","[""knightscope""]","[""knightscope""]","[""cogo-guebara"",""unnamed-woman-injured-in-the-fight""]","A Knightscope K5 autonomous ""police"" robot patrolling Huntington Park, California failed to respond to an onlooker who attempted to activate its emergency alert button when a nearby fight broke out.",Knightscope's Park Patrol Robot Ignored Bystander Pressing Emergency Button to Alert Police about Fight
